Food_Name,Category,Calories,Protein,Carbs,Fat,Fiber,Sugar,Sodium,Cholesterol (mg),Meal_Type,Water_Intake (ml),Food_Type,Cholesterol
Fruit Salad (Low Sugar Fruits),Vegetarian,242,5.5,46.5,10.3,5.3,2.6,41.0,10.0,Snack,447.0,Fruits,0.0
Almonds (Soaked),Vegetarian,108,6.8,25.6,9.3,4.5,3.2,281.0,69.0,Snack,244.0,Nuts & Seeds,0.0
Grilled Fish (Low Salt),Non-Vegetarian,170,12.5,47.2,6.6,4.3,6.0,169.0,78.0,Lunch,388.0,Animal Protein,0.0
Vegetable Upma,Vegetarian,230,14.8,11.3,8.8,5.5,1.9,177.0,1.0,Breakfast,288.0,Grains & Cereals,0.0
Walnuts,Vegetarian,180,13.0,19.1,1.2,4.9,8.5,212.0,37.0,Snack,435.0,Nuts & Seeds,0.0
Moong Dal,Vegetarian,141,7.5,36.6,11.1,6.6,4.3,119.0,33.0,Lunch,415.0,Pulses & Legumes,0.0
Vegetable Curry (Low Oil),Vegetarian,137,10.6,20.3,7.6,5.8,5.8,101.0,36.0,Lunch,373.0,Vegetables,0.0
Oats Khichdi,Vegetarian,94,17.2,31.8,4.6,7.8,7.2,239.0,15.0,Dinner,470.0,Grains & Cereals,0.0
Poha (Less Oil),Vegetarian,107,3.3,10.3,6.2,6.9,5.7,68.0,38.0,Breakfast,461.0,Grains & Cereals,0.0
Lauki Sabzi,Vegetarian,133,4.2,37.1,4.6,10.0,9.6,219.0,51.0,Lunch,368.0,Vegetables,0.0
Low-fat Paneer Bhurji,Vegetarian,138,3.3,28.7,2.4,2.5,4.4,283.0,79.0,Breakfast,539.0,Plant Protein,0.0
Paneer (Low Fat) Curry,Vegetarian,120,14.5,12.5,5.6,3.6,2.7,144.0,79.0,Dinner,168.0,Plant Protein,0.0
Idli,Vegetarian,159,5.2,41.3,10.9,3.8,1.6,208.0,16.0,Breakfast,377.0,Mixed/Other,0.0
Vegetable Khichdi,Vegetarian,281,14.2,17.4,4.9,5.2,5.6,81.0,73.0,Dinner,369.0,Vegetables,0.0
Buttermilk (Low Salt),Vegetarian,297,7.4,26.3,4.0,11.0,5.6,25.0,76.0,Snack,252.0,Beverages,0.0
Moong Dal Chilla,Vegetarian,257,3.0,30.2,10.6,7.6,1.5,112.0,2.0,Breakfast,372.0,Pulses & Legumes,0.0
Palak Dal,Vegetarian,254,8.4,33.5,9.2,9.4,8.0,196.0,65.0,Lunch,507.0,Pulses & Legumes,0.0
Spinach Soup,Vegetarian,208,6.3,47.3,7.4,2.1,7.6,67.0,76.0,Dinner,294.0,Mixed/Other,0.0
Multigrain Roti,Vegetarian,138,19.6,32.4,4.9,10.7,7.9,257.0,13.0,Lunch,216.0,Grains & Cereals,0.0
Boiled Chicken (Low Salt),Non-Vegetarian,187,10.7,23.7,11.6,3.1,1.5,272.0,4.0,Lunch,395.0,Animal Protein,0.0
Sprouts Salad,Vegetarian,196,19.2,48.2,7.1,9.9,1.3,209.0,50.0,Snack,160.0,Fruits,0.0
Tori Sabzi,Vegetarian,120,6.6,12.2,8.2,8.5,8.2,182.0,72.0,Lunch,561.0,Vegetables,0.0
